为了	0.035569146 0.06272081 -0.032693204 0.020574035 0.0045864605 -0.0020900527 -0.045325067 -0.019603424 0.07506449 0.018349538 -0.0014022646 -0.042203024 -0.023595756 -0.056369368 -0.041596007 0.028177688 -0.030029345 -0.0257234 0.012755698 -0.004343157 0.0458387 -0.040018328 -0.031056399 -0.059491217 -0.012517633 -0.051894713 0.048674125 -0.0149671 -0.038751706 0.03933284 -0.06277909 -0.04604373 -0.019638048 -0.0077464697 -0.056517407 -0.049762435 -0.0032040344 -0.00934345 0.06883911 0.009193723 0.0461147 0.020911792 -0.027498262 0.045601398 0.04645753 -0.029280882 -0.04389173 0.050904516 -0.0486102 -0.0009689326
分析	0.029463707 0.04112446 -0.026163837 0.026200214 0.014669345 -4.6073634e-05 -0.03788357 -0.010855271 0.05072991 0.011958339 -0.006338756 -0.024772102 -0.0040555624 -0.03865473 -0.021804407 0.021319289 -0.018798087 -0.027626075 0.02383654 -0.007115377 0.026215633 -0.030924927 -0.012257578 -0.033117168 -0.0039501763 -0.038228586 0.024324192 -0.013092605 -0.025864286 0.03311169 -0.03289077 -0.020837381 -0.0108320685 -0.00529803 -0.04619145 -0.03732524 0.009263406 0.0068160486 0.0450718 0.007633143 0.029089618 0.01919606 -0.010210416 0.019220166 0.016004587 -0.026172545 -0.034687478 0.03195743 -0.019626014 0.00043776253
某种	0.01780824 0.04575133 -0.03460497 0.011970534 0.004458713 -8.2170525e-05 -0.031017058 -0.02130232 0.042846538 0.016286353 0.0051003424 -0.029051246 -0.0015837674 -0.031546686 -0.018275421 0.02284551 -0.004900859 -0.008637648 0.004265184 0.0047742072 0.025973316 -0.0292661 -0.020863544 -0.03324587 -0.004174246 -0.029909652 0.028862836 -0.009867356 -0.030572977 0.017934958 -0.04419171 -0.027093794 -0.0035612762 -0.004367248 -0.03991326 -0.03146667 0.012738186 -6.7699846e-05 0.037060156 0.005556033 0.017933827 0.019545905 -0.011088185 0.032926634 0.032959957 -0.009498651 -0.032794565 0.037487417 -0.022198359 -0.0037193778
结构	0.03686979 0.05982197 -0.030586893 0.023679256 0.007882279 0.011163388 -0.03524438 -0.024345465 0.06507779 0.0071540982 -0.00052168214 -0.021577055 -0.017855778 -0.039217982 -0.02855809 0.021093266 -0.01651918 -0.015327356 0.008856835 0.0029846497 0.02592115 -0.020742968 -0.028035197 -0.049884085 -0.006563654 -0.031724695 0.025501559 0.0018961685 -0.029561177 0.03160473 -0.030705504 -0.01901394 -0.00085873937 -0.015859473 -0.04803902 -0.040971715 0.013293388 0.005540868 0.055663947 0.0059483727 0.036852133 0.016534058 -0.02826064 0.026337394 0.03380928 -0.02528568 -0.02906928 0.031096986 -0.033235207 -0.0059131947
助推钻地弹	0.029900398 0.06263767 -0.026456503 0.02125753 0.012676332 0.002165295 -0.027353529 -0.0207673 0.06776791 0.009819907 -0.00076683756 -0.029820623 -0.004835454 -0.045290574 -0.038884856 0.012305947 -0.027627693 -0.022061922 0.024365548 0.002483572 0.042774063 -0.02832485 -0.022140965 -0.05125276 -0.0097546615 -0.04488513 0.033185784 -0.005100624 -0.027614629 0.033744916 -0.04848745 -0.030630242 -0.002114599 -0.019870793 -0.058908444 -0.03800793 0.0071686 -0.009535045 0.05509703 0.013914595 0.039843876 0.02125347 -0.02006107 0.029972468 0.027532032 -0.024467546 -0.045555264 0.05013341 -0.04288889 0.00031797422
的	0.03054592 0.050640006 -0.028938795 0.014324981 -0.0009340956 -0.0053916434 -0.032526597 -0.004219725 0.036675718 0.0029755519 0.0061398777 -0.030058665 -0.008446322 -0.030262003 -0.02003788 0.010157929 -0.020974213 -0.025333649 0.016115088 0.010905043 0.028336609 -0.01886759 -0.023138305 -0.03263587 -0.01427968 -0.031758554 0.024563998 -0.0022523284 -0.01718558 0.02684789 -0.037114203 -0.014053264 -0.007403282 -0.016259035 -0.041316725 -0.019556027 -0.0042492244 0.0013412125 0.0410054 0.0012451377 0.02781877 0.0038795425 -0.02209534 0.021288192 0.015552204 -0.014138375 -0.027213298 0.033601295 -0.01671842 -0.011675541
侵彻	0.020315373 0.029231679 -0.027317958 0.016138174 0.010057364 0.011838957 -0.019528013 -0.008988067 0.047557898 0.009146361 -0.0102559775 -0.020427033 -0.014463755 -0.033761997 -0.024023328 0.0010699857 -0.019813774 -0.013247552 0.016888054 0.0026227632 0.027955316 -0.027285408 -0.009057628 -0.025633438 0.0020735224 -0.023868922 0.026779821 0.0046919193 -0.012054375 0.018553799 -0.036027003 -0.023441017 -0.005048164 -0.0072179944 -0.027690731 -0.018119544 2.334246e-05 -0.009320222 0.03513075 0.0146713415 0.03069654 0.0020669126 -0.008780856 0.022038344 0.020871965 -0.016961442 -0.031787775 0.035269782 -0.024471646 0.0028402996
效果	0.013752264 0.022322128 -0.025741495 0.017018737 0.00571454 0.0036138436 -0.023748806 -0.019022392 0.02419661 0.010209205 0.0069982745 -0.020021105 -0.009810228 -0.026691603 -0.012636134 0.004751689 -0.011308166 -0.019486343 0.017381836 0.0020731203 0.01950003 -0.011582366 -0.01947484 -0.01981148 -0.013769104 -0.021351898 0.014019121 0.0055843676 -0.012572958 0.0175968 -0.017818686 -0.023075664 -0.0040491056 -0.013180774 -0.025793156 -0.020889694 -0.00032730712 -0.00024185919 0.030265728 0.0071466863 0.017155897 0.015187679 -0.004321638 0.009772756 0.01752784 -0.02103501 -0.015681213 0.023285275 -0.013003612 0.003253564
，	0.009813946 0.04426147 -0.02957065 0.014247446 -0.001207838 -0.0032403218 -0.026244452 -0.018922016 0.04879906 0.0036868548 -0.004646969 -0.024003725 -0.016264774 -0.03437006 -0.030880723 0.019632632 -0.01934986 -0.015857149 0.010998556 0.007498161 0.021401074 -0.019414175 -0.019824784 -0.038271558 -0.0009447682 -0.031790808 0.019631714 -0.0013017 -0.016274575 0.015005749 -0.038536344 -0.016458891 -0.012042333 -0.0074833506 -0.04013144 -0.02913135 0.000825197 0.0069955727 0.037395984 0.007605624 0.022551026 0.00026071403 -0.019568931 0.029349228 0.02432873 -0.007118244 -0.032937743 0.036199965 -0.017278273 -0.009661955
本文	0.015921153 0.033979908 -0.021636138 0.009335096 -0.0063521955 -0.006320061 -0.014822075 -0.008431218 0.030672027 0.0065854914 0.004437939 -0.014300246 -0.015518729 -0.020209685 -0.008043363 0.008882064 0.0011600783 -0.016325522 0.012455579 -0.004176211 0.0136891045 -0.0075964183 -0.010776974 -0.0123855425 -0.005610431 -0.018547175 0.023326572 -0.0058903806 -0.008049985 0.015598661 -0.016445406 -0.006871145 -0.013219808 0.0023390227 -0.019256994 -0.021761708 0.007488023 -0.008909666 0.026236853 0.005750133 0.016569823 -0.0015562328 -0.0035859882 0.008077679 0.020972943 -0.0029670154 -0.0051549524 0.024415499 -0.013324809 0.0049011614
作者	0.023751602 0.037983403 -0.024655415 0.00741691 0.0036837906 0.0043683797 -0.013573782 -0.00373605 0.031751502 0.010138767 -0.0023245073 -0.020649951 0.00027218973 -0.029537966 -0.009869886 0.01067576 -0.010645569 -0.0077807573 0.007004505 0.0024110824 0.0211387 -0.017999846 -0.022172887 -0.031368956 -0.014794053 -0.019119188 0.027340308 -0.008553175 -0.0049982783 0.025462534 -0.013885186 -0.025460562 -0.003623414 -0.005009787 -0.025268009 -0.027983544 -0.0023195203 -0.0011838271 0.025147539 0.018378414 0.026046917 0.008814894 -0.009678373 0.015329408 0.02565359 -0.0057857777 -0.023367222 0.024169603 -0.025853498 -0.008205079
首先	0.012137612 0.029538844 -0.015990293 0.011601288 0.0020432204 -0.002810674 -0.018994108 -0.008857887 0.03730186 0.0030612985 0.00019474133 -0.017560592 -0.01091787 -0.025817227 -0.005485305 0.011608091 -0.0076998724 -0.0024675746 0.0064986027 0.0050280336 0.010763823 -0.011533709 -0.0054444624 -0.02080978 -0.012932627 -0.022538576 0.02122594 7.931572e-05 -0.01019437 0.0170592 -0.015421416 -0.020169266 0.0012472131 0.00036314462 -0.012915774 -0.020791166 -0.0024788675 -0.0034741436 0.030352931 0.0036886085 0.022252532 -0.0048598503 -0.01892252 0.021887038 0.014728276 -0.008991967 -0.022036515 0.011641315 -0.005285805 -0.0074006305
进行	0.013379878 0.03025626 -0.018594898 0.009249291 0.010744939 0.010646085 -0.019065363 -0.0037517461 0.015955338 0.00021810428 -0.003872138 -0.009856601 -0.014411796 -0.02162506 -0.011587634 -0.0012898911 -0.0034806991 -0.018189577 -0.0020958127 -0.009041781 0.015466345 -0.015427738 -0.004327668 -0.013588838 -0.009378805 -0.015310367 0.015341177 0.0033641492 -0.015146749 0.0012498372 -0.013843499 -0.011255738 -0.004716213 -0.008824586 -0.01061789 -0.012781054 -0.008179131 0.0003553285 0.020232258 0.0072371676 0.010177009 -0.004068763 -0.01036588 0.017736029 0.009864655 -0.018203251 -0.0178649 0.0054669473 -0.017320052 -0.009225167
了	0.021276208 0.035598047 -0.013152666 0.02042723 0.013546638 0.003047199 -0.013343564 -0.009303129 0.028498005 0.01033541 -0.012153664 -0.01205586 -0.0071455366 -0.026311234 -0.019297224 0.016116004 -0.016084103 -0.013424055 0.019028267 0.00095363904 0.012568924 -0.022436187 -0.0056655803 -0.017845603 -0.015920887 -0.02322319 0.011547901 -0.0018556418 -0.022631798 0.013131728 -0.021367006 -0.016944552 -0.011938582 0.003202438 -0.019056704 -0.026699774 0.008521956 -0.0006652977 0.02409252 0.013050158 0.015192256 -0.0026681433 -0.015472786 0.01503048 0.0113299675 -0.020274956 -0.019417834 0.029243898 -0.028240714 -0.012821459
无	0.013007984 0.035969313 -0.0069777886 0.014589357 0.007866147 0.000630592 -0.025159717 -0.0059622885 0.031838 -0.004273148 -0.006133531 -0.016898094 0.0008884923 -0.019832056 -0.024588611 0.018208805 -0.0042027617 -0.010307328 -0.0013772914 -0.006915086 0.025117004 -0.010494571 -0.013567967 -0.01954869 -7.89749e-05 -0.027812162 0.013140493 0.0054460843 -0.016365733 0.01586888 -0.020847842 -0.0069481684 0.0019214051 -0.007069619 -0.026755014 -0.021385033 -0.0010527098 0.004439968 0.018657956 0.009465182 0.025423694 0.0153749315 -0.0062362906 0.016415676 0.017040841 -0.0120514585 -0.01672529 0.017394604 -0.012023832 0.00065785187
助推	0.021145236 0.028713023 -0.012015301 0.019534009 0.00700741 0.010275728 -0.022620136 -0.015591999 0.0305336 0.01229303 -0.0011605711 -0.010669284 -0.0033460164 -0.023677817 -0.014424923 0.013762228 -0.015239066 -0.017603904 0.014934627 0.007822437 0.007443155 -0.01632035 -0.019486649 -0.018721007 -0.0022190183 -0.017417647 0.020553375 -0.007205659 -0.022157822 0.021944735 -0.028908016 -0.020030785 -0.013157205 -0.003215115 -0.031372316 -0.016534587 -0.003829497 0.0053773015 0.024085388 0.0013691293 0.024617964 0.0056326585 -0.018231118 0.0052683936 0.014416512 -0.016751692 -0.028168673 0.019294726 -0.021415692 -0.0007009172
即	0.019453844 0.034047537 -0.01855365 0.012934429 0.010285449 0.011908673 -0.013274227 -0.007298469 0.035205174 0.0022188602 0.001767865 -0.0153719215 0.00062983256 -0.011792754 -0.018936234 0.0005094768 -0.016371552 -0.01523461 0.014800939 0.00024997897 0.026442638 -0.024505235 -0.004537528 -0.032783262 -0.0069754343 -0.014797287 0.010198814 -0.010136693 -0.009303176 0.02103816 -0.03002104 -0.023264488 -0.004328184 -0.014977712 -0.029631399 -0.012677385 -0.0015933628 -0.002564389 0.027551332 0.010653878 0.026479255 0.008678142 -0.004047667 0.021973157 0.013200437 -0.006956293 -0.023510361 0.031060895 -0.027784595 -0.009485786
